attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
background_noise,05,250,0.67725,0.024383006204450365,0.575,0.02206693905363377,0.58475,0.02610679664232467,0.5,0.0
background_noise,10,250,0.77925,0.027267214532353933,0.67825,0.025903824910231302,0.5805,0.026161901052229878,0.5,0.0
background_noise,20,250,0.92025,0.020350375592283,0.8115,0.027886517621607775,0.557,0.027661405964261445,0.55225,0.017151236903186803
background_noise,30,250,0.961,0.01366535301748072,0.84475,0.027276902338880405,0.55025,0.027174901669056534,0.91675,0.021375775999911528
background_noise,40,250,0.96675,0.013158379696030191,0.84875,0.027393592785591513,0.5825,0.026795256728244465,0.9775,0.01226081851601804
channel,P1,250,0.968,0.012863978161383289,0.85,0.02737202423722757,0.571,0.025518722507084365,0.9825,0.010961132500923948
channel,P2,250,0.95975,0.015095757655606,0.84425,0.02682261020244468,0.571,0.026673418653232327,0.98275,0.010414811992318506
channel,P3,250,0.95425,0.01588725539341969,0.8445,0.02695699398111726,0.5865,0.02734178205207431,0.98725,0.008818523972878963
channel,P4,250,0.943,0.017317602716756777,0.82875,0.028392657183287914,0.576,0.028789927288081368,0.97075,0.013837045918802039
channel,P5,250,0.93775,0.017682176820415348,0.7915,0.028653287089689665,0.592,0.02727631904643461,0.955,0.016463676703653094
echo,0.1,250,0.953,0.015777475632983803,0.8215,0.02712793432761761,0.57325,0.0273085581786955,0.923,0.020565938971589228
echo,0.3,250,0.952,0.016361921166447052,0.78825,0.029143732171765482,0.5705,0.026311849118145693,0.93125,0.019519274019105623
echo,0.5,250,0.9515,0.016818986259438493,0.79825,0.02789545457496212,0.5675,0.026047096670836843,0.932,0.01979863404480624
echo,0.7,250,0.935,0.018987777721767362,0.816,0.027147476929071285,0.55775,0.025698424693488656,0.91825,0.01911232093824783
echo,0.9,250,0.95425,0.015719461513713645,0.80725,0.02788349189180439,0.5785,0.02606197436171178,0.91525,0.020511784535219672
encodec,01.5bw,250,0.513,0.016600626542586445,0.50075,0.01533065465951003,0.555,0.027697705528910967,0.5,0.0
encodec,03bw,250,0.541,0.017320052496280013,0.51425,0.016015409259052347,0.58375,0.02861255534364543,0.5,0.0
encodec,06bw,250,0.578,0.017293643422114525,0.533,0.01720756203431092,0.58525,0.02664855360496978,0.5,0.0
encodec,12bw,250,0.61075,0.020350659886876527,0.53425,0.017864790942568758,0.58275,0.027673133629923418,0.5,0.0
encodec,24bw,250,0.63075,0.020462176106270227,0.54,0.01871926825535828,0.552,0.025723683366574372,0.5,0.0
gaussian_noise,05,250,0.728,0.027411732427900196,0.66375,0.02572347719723105,0.57725,0.026114921099173634,0.5,0.0
gaussian_noise,10,250,0.834,0.02586141008775252,0.76275,0.028061709458816014,0.575,0.027142077471665863,0.50725,0.007074858166231259
gaussian_noise,20,250,0.942,0.01765289577710323,0.83475,0.026727318793315538,0.57625,0.028775538508703246,0.7795,0.028189024011107504
gaussian_noise,30,250,0.96475,0.013512971144667868,0.8455,0.02727631904643461,0.59025,0.02694470411638767,0.982,0.011014488742061339
