attack,config,n,stampv40_mean,stampv40_ci95,silentcipher_mean,silentcipher_ci95
background_noise,05,250,0.563,0.01604232974898286,0.6163,0.025915510024371372
background_noise,10,250,0.6313,0.02198474415329739,0.6387,0.027246978543371957
background_noise,20,250,0.8132,0.025478413543444243,0.6163000000000001,0.0263655368105646
background_noise,30,250,0.9094,0.020697508165793594,0.6283,0.026339132779312706
background_noise,40,250,0.9232,0.019788699994032332,0.6475,0.028238648641683156
channel,P1,250,0.9261,0.019553222976560265,0.6219000000000001,0.025673596380335995
channel,P2,250,0.9184000000000001,0.020218557214582784,0.6460999999999999,0.02741279896772637
channel,P3,250,0.9174,0.01963823387310118,0.6384,0.02756242089145274
channel,P4,250,0.9006000000000001,0.021288382960957117,0.6143,0.025136181958240016
channel,P5,250,0.8837,0.02309497287881266,0.6243,0.026186513100016757
echo,0.1,250,0.9125,0.019903167393386326,0.6254,0.02629317878038922
echo,0.3,250,0.8973,0.021093838032843225,0.6459,0.027409534493321158
echo,0.5,250,0.905,0.021082787284387113,0.6189,0.025856947367480537
echo,0.7,250,0.9084,0.020631359207453782,0.6153,0.025871299308997665
echo,0.9,250,0.8966,0.02137113008759442,0.6256,0.02620348431903344
encodec,0.15bw,250,0.49510000000000004,0.009707856128851205,0.6179,0.0263392733586225
encodec,03bw,250,0.5155,0.0106068681999942,0.6144000000000001,0.026548011355348157
encodec,06bw,250,0.5105999999999999,0.00975474466451478,0.6254,0.026956662031630517
encodec,12bw,250,0.5183,0.009981419399912409,0.6170999999999999,0.025841966564479547
encodec,24bw,250,0.5329,0.011123616784909035,0.6237999999999999,0.027192778696502273
gaussian_noise,05,250,0.6105,0.02253897326105718,0.6272000000000001,0.026541478537485876
gaussian_noise,10,250,0.7127,0.025132560389081796,0.6110999999999999,0.026532504916130666
gaussian_noise,20,250,0.8725,0.02355449445085462,0.6196,0.02657072421514455
gaussian_noise,30,250,0.917,0.02016681611680824,0.6186,0.025962269198661646
gaussian_noise,40,250,0.9265,0.019282670122892035,0.6233,0.02656165592287992
highpass,0.06,250,0.9262999999999999,0.019340813920734203,0.6136000000000001,0.026221259474895543
highpass,0.07,250,0.922,0.019580705362421447,0.6471,0.027497595378184057
highpass,0.08,250,0.9205,0.019926795707002027,0.6207999999999999,0.02567944579717014
highpass,0.09,250,0.9242999999999999,0.018940291047495957,0.6203,0.02634317413521143
highpass,0.1,250,0.9145,0.020444614927116436,0.6306,0.026720629894217973
lowpass,0.1,250,0.9025,0.02119636571864891,0.6293000000000001,0.026462553736649463
lowpass,0.2,250,0.9261,0.019553222976560265,0.6248,0.026682009517116318
lowpass,0.3,250,0.9261,0.019553222976560265,0.6517999999999999,0.027895232655124676
lowpass,0.4,250,0.9261,0.019553222976560265,0.6279,0.026691875043716912
lowpass,0.5,250,0.9261,0.019553222976560265,0.6096,0.025257060895446746
mp3,08,250,0.5494,0.012934926571016567,0.6516,0.02825126371726564
mp3,16,250,0.816,0.025643866031865026,0.6417,0.027250885264423597
mp3,24,250,0.8656999999999999,0.023198020274208104,0.631,0.027341429381847804
mp3,32,250,0.8512,0.024547909397894332,0.655,0.028093150274924275
mp3,40,250,0.8953,0.022090665954498812,0.6424000000000001,0.027537724776740692
opus,016kbps,250,0.7529,0.026635459662293925,0.6193,0.026135796008462872
opus,032kbps,250,0.8862000000000001,0.022643907103227532,0.6142000000000001,0.025741253419646407
opus,064kbps,250,0.9216,0.01993693179538052,0.624,0.026517879578680445
opus,128kbps,250,0.9272,0.01970604117674166,0.6343,0.027681271416119087
opus,256kbps,250,0.9259,0.019468375788425637,0.6520999999999999,0.02790251291701766
quantization,04,250,0.5594,0.015354701571093766,0.6101,0.02568338972110701
quantization,06,250,0.5757000000000001,0.018534776346123067,0.6335,0.0271464113317538
quantization,08,250,0.6229000000000001,0.02270804242861456,0.6255,0.02687710806899824
quantization,12,250,0.7032,0.026123913402663842,0.6294,0.027113823637120966
quantization,16,250,0.7674,0.026878540221405903,0.618,0.025554065969042986
smooth,06,250,0.9252999999999999,0.019595044273087444,0.6174,0.025339207930996602
smooth,10,250,0.9180999999999999,0.020657683637549405,0.6376000000000001,0.027129637581012916
smooth,14,250,0.9252,0.019715746905663828,0.6249000000000001,0.027074490549038217
smooth,18,250,0.9198,0.019828110662232414,0.6185,0.02543280305994492
smooth,22,250,0.9142,0.021443171161510774,0.6331,0.02649543876969003
time_stretch,0.7,250,0.5102000000000001,0.010609566028317884,0.6157,0.025713563374797334
time_stretch,0.9,250,0.5545,0.011950811435877631,0.6222000000000001,0.02528127534274771
time_stretch,1.1,250,0.5652999999999999,0.01131157204248327,0.6212,0.02625522241383607
time_stretch,1.3,250,0.5200999999999999,0.011101681044963254,0.6243000000000001,0.025584539886203836
time_stretch,1.5,250,0.5099,0.010502529965618517,0.6216999999999999,0.02603572468250062
