attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
background_noise,05,250,0.66825,0.02526193877362562,0.576,0.018042110313882725,0.735,0.030104902934952167,0.5,0.0
background_noise,10,250,0.78575,0.02834636388997948,0.624,0.022531442412521106,0.738,0.02872474337444481,0.5,0.0
background_noise,20,250,0.945,0.017292082130780855,0.76775,0.026815203601254025,0.74575,0.02974337266130182,0.5,0.0035405284020131583
background_noise,30,250,0.96675,0.014198187861632799,0.8505,0.024994764881589582,0.76925,0.029184730293927975,0.65425,0.036386587079267396
background_noise,40,250,0.97075,0.013941183982839242,0.891,0.02196629404099796,0.7415,0.02991926179747796,0.6715,0.03969868440861864
channel,P1,250,0.971,0.013923293071678099,0.89625,0.02140201380195603,0.73875,0.029836658572620297,0.6715,0.03969868440861864
channel,P2,250,0.9675,0.013680726923545638,0.88075,0.022386259779329606,0.73325,0.028759382341955173,0.6715,0.03969868440861864
channel,P3,250,0.96725,0.014351121711472941,0.871,0.02397774942462031,0.7535,0.028380411424263067,0.6715,0.03969868440861864
channel,P4,250,0.9575,0.015168115469880578,0.86875,0.02331264393992838,0.74125,0.029857657793532007,0.6715,0.03969868440861864
channel,P5,250,0.93575,0.017392193477991893,0.8235,0.026650272299821223,0.72775,0.02887762873515521,0.6715,0.03969868440861864
echo,0.1,250,0.96425,0.015046877232762662,0.8185,0.026674864633449435,0.7055,0.03111942739585327,0.6715,0.03965007585948167
echo,0.3,250,0.93675,0.020009973828329756,0.783,0.027983030399894963,0.73925,0.029799081553728853,0.66925,0.03954679156762496
echo,0.5,250,0.94025,0.018452835014715792,0.78475,0.02730905251003747,0.73325,0.030262414300202628,0.671,0.03966515088055899
echo,0.7,250,0.9345,0.01874387456570652,0.79025,0.0270143976858511,0.72175,0.030841874737917562,0.6655,0.039134217897407474
echo,0.9,250,0.93875,0.01820547299544705,0.78175,0.0264424473239889,0.74325,0.02778323236057328,0.669,0.039505355866878034
encodec,0.15bw,250,0.52125,0.015864904372956436,0.49475,0.014869862637544362,0.749,0.030194197985173764,0.5,0.0
encodec,03bw,250,0.5375,0.016621060091167976,0.5065,0.015797875206627524,0.74525,0.030160727336952204,0.5,0.0
encodec,06bw,250,0.541,0.016710855524762275,0.51175,0.017676504508713997,0.75525,0.02923405005005836,0.5,0.0
encodec,12bw,250,0.56975,0.01894988114955683,0.5435,0.017351201294013668,0.7305,0.030352373758424304,0.5,0.0
encodec,24bw,250,0.57425,0.018081002933141542,0.54375,0.01729277915325855,0.742,0.02858644240119127,0.5,0.0
gaussian_noise,05,250,0.73525,0.02720894437895133,0.577,0.021772998605453783,0.74975,0.030046375460498608,0.5,0.0
gaussian_noise,10,250,0.8555,0.02485976181361597,0.70125,0.026498982514375696,0.7375,0.028016159995322955,0.5,0.0
gaussian_noise,20,250,0.94725,0.018072681562941954,0.81175,0.026644428285000566,0.74775,0.02981150467258192,0.587,0.026899342312916685
gaussian_noise,30,250,0.97175,0.013694147329583444,0.875,0.02340294836057781,0.72625,0.029901224437998628,0.671,0.039689453365267385
gaussian_noise,40,250,0.972,0.013282191416906374,0.8925,0.021661197332546466,0.743,0.029075411685110058,0.6715,0.03969868440861864
highpass,0.06,250,0.96125,0.015486601606461925,0.73925,0.029309683563669017,0.75875,0.028914268965325694,0.6715,0.03969868440861864
highpass,0.07,250,0.963,0.014584623525257483,0.7445,0.02740751088683626,0.75375,0.02898088987439217,0.6715,0.03969868440861864
highpass,0.08,250,0.968,0.014063589320593562,0.741,0.028514301379001558,0.759,0.029108358037349374,0.6715,0.03969868440861864
highpass,0.09,250,0.9605,0.01558933880372575,0.74925,0.02829427007853549,0.71875,0.030004240831447246,0.66625,0.039229814214359636
highpass,0.1,250,0.9525,0.017005313367619065,0.80175,0.027633242748893536,0.732,0.029374012610936726,0.663,0.03827017301988439
lowpass,0.1,250,0.954,0.01574652054382008,0.89625,0.02140201380195603,0.751,0.029393177253851023,0.6715,0.03969868440861864
lowpass,0.2,250,0.971,0.013923293071678099,0.89625,0.02140201380195603,0.7435,0.029603039190550507,0.6715,0.03969868440861864
lowpass,0.3,250,0.971,0.013923293071678099,0.89625,0.02140201380195603,0.72875,0.030701552915212975,0.6715,0.03969868440861864
lowpass,0.4,250,0.971,0.013923293071678099,0.89625,0.02140201380195603,0.75425,0.028771114900372593,0.6715,0.03969868440861864
lowpass,0.5,250,0.971,0.013923293071678099,0.89625,0.02140201380195603,0.7325,0.03083591826785262,0.6715,0.03969868440861864
mp3,08,250,0.69725,0.02335611620661766,0.872,0.023737509977242322,0.7475,0.029219054958892203,0.5015,0.006010401425961899
mp3,16,250,0.9,0.022595886713858836,0.85475,0.024641064177001376,0.74925,0.029756013472086684,0.67125,0.03966978165184705
mp3,24,250,0.93675,0.017858312734828553,0.84775,0.0250424215905025,0.77925,0.02667734069253723,0.6715,0.03969868440861864
mp3,32,250,0.925,0.020632970651645065,0.84075,0.025293600322395315,0.71975,0.030498049243033922,0.67075,0.03944107322867519
mp3,40,250,0.95425,0.016816033430071584,0.856,0.024661306733407228,0.755,0.028232160020759144,0.6715,0.03969868440861864
opus,016kbps,250,0.82625,0.025845017891253177,0.75425,0.029112614477005444,0.74825,0.02894220179216352,0.654,0.03812056883986255
opus,032kbps,250,0.9205,0.01911370832107502,0.83525,0.02582157708142335,0.71425,0.03014333030451993,0.6715,0.03969868440861864
opus,064kbps,250,0.9715,0.013694957064408193,0.8925,0.02186059887405947,0.74775,0.028749456212772452,0.6715,0.03969868440861864
opus,128kbps,250,0.971,0.013923293071678099,0.90225,0.020653266503608488,0.73875,0.029454475969171036,0.6715,0.03969868440861864
opus,256kbps,250,0.971,0.013923293071678099,0.90175,0.021193203815181107,0.76325,0.0277905197568058,0.6715,0.03969868440861864
quantization,04,250,0.58125,0.02292685352266637,0.527,0.01623472078713227,0.72525,0.02874576657499215,0.5,0.0
quantization,06,250,0.6305,0.026440532776288304,0.542,0.01743579934488754,0.72975,0.03009351415132343,0.5,0.0
quantization,08,250,0.64575,0.02690767541772314,0.54275,0.01920512930355495,0.743,0.029715073426714263,0.5,0.0
