attack,config,n,stampv40_mean,stampv40_ci95,silentcipher_mean,silentcipher_ci95
background_noise,05,250,0.5549000000000001,0.01340862983874976,0.49760000000000004,0.005469809209391914
background_noise,10,250,0.6166,0.01855242703831626,0.49610000000000004,0.005755747699676327
background_noise,20,250,0.8467,0.021887615923789166,0.49720000000000003,0.005124560067708271
background_noise,30,250,0.9305,0.016709470608972883,0.5033,0.006527360080652051
background_noise,40,250,0.9435,0.015875203113522116,0.7816,0.02816621661939357
channel,P1,250,0.9462,0.015738709766829617,0.9537,0.01677929357139388
channel,P2,250,0.9378,0.015994248998565466,0.9484,0.017957872780348477
channel,P3,250,0.9357000000000001,0.016675161917170563,0.9148999999999999,0.021797162261786893
channel,P4,250,0.9218999999999999,0.01737070310035847,0.9101,0.022345881482117715
channel,P5,250,0.9003,0.019955870416504543,0.8576,0.02572742861360756
echo,0.1,250,0.9156,0.01877446486641045,0.6892999999999999,0.025319646737417774
echo,0.3,250,0.8663,0.021892972345858984,0.6577000000000001,0.024757449208455157
echo,0.5,250,0.9008,0.018988025541373157,0.6595,0.026552256243991514
echo,0.7,250,0.8916999999999999,0.02061982866175567,0.6772999999999999,0.027037345727715212
echo,0.9,250,0.8799,0.02167045099950825,0.7207,0.02697501899653555
encodec,0.15bw,250,0.49420000000000003,0.010236105986510119,0.5066,0.005522023050502518
encodec,03bw,250,0.49720000000000003,0.0095384510070796,0.4978,0.005378678215079004
encodec,06bw,250,0.5137999999999999,0.009668897200627649,0.4989,0.006724899385341902
encodec,12bw,250,0.5107,0.01035721102153366,0.4985,0.005726132724966802
encodec,24bw,250,0.5204,0.010578896880717358,0.4986,0.006183160985701439
gaussian_noise,05,250,0.6078,0.019228150073394474,0.49889999999999995,0.00446342551470294
gaussian_noise,10,250,0.7276999999999999,0.02378067916925427,0.5021,0.0043082952321340405
gaussian_noise,20,250,0.9041,0.01897840695469861,0.4983,0.005385056586681989
gaussian_noise,30,250,0.9365,0.0159793340935187,0.5249000000000001,0.011610468476723753
gaussian_noise,40,250,0.9442999999999999,0.015565945532000967,0.9304,0.01895813385153006
highpass,0.06,250,0.9380999999999999,0.016483409576329898,0.5734,0.017717860829838974
highpass,0.07,250,0.9351,0.01607570972956519,0.559,0.01632971204835925
highpass,0.08,250,0.933,0.016233532848860102,0.5431,0.015171873340449246
highpass,0.09,250,0.9363,0.015819009216584252,0.5339,0.013067624984938462
highpass,0.1,250,0.9359,0.015540491934758604,0.5222,0.010858365615476272
lowpass,0.1,250,0.9171,0.01836043696534026,0.8168,0.027222322137433773
lowpass,0.2,250,0.9462,0.015738709766829617,0.9609000000000001,0.01557520007723121
lowpass,0.3,250,0.9462,0.015738709766829617,0.954,0.016790870343958667
lowpass,0.4,250,0.9462,0.015738709766829617,0.954,0.016793167285234778
lowpass,0.5,250,0.9462,0.015738709766829617,0.9541,0.016798536308393588
mp3,08,250,0.5569,0.012182641120656014,0.5379,0.012249702454217713
mp3,16,250,0.8318,0.023785074157435346,0.5498,0.014796090650511459
mp3,24,250,0.8837,0.02083316414029289,0.5337999999999999,0.012184331649086862
mp3,32,250,0.8777,0.020786234124060114,0.5306000000000001,0.013211665683650422
mp3,40,250,0.9085,0.019026941836844162,0.6227999999999999,0.022999028323808755
opus,016kbps,250,0.7217,0.023829740199504977,0.514,0.009739992990439742
opus,032kbps,250,0.871,0.021803712001127525,0.6006,0.01996059743333306
opus,064kbps,250,0.9396,0.016205396064968302,0.8660999999999999,0.024709131270210898
opus,128kbps,250,0.9448,0.01589108956156925,0.9298,0.020103970869529517
opus,256kbps,250,0.947,0.01567753996766556,0.9546,0.016517514100622317
quantization,04,250,0.5396,0.01578827236759658,0.496,0.006221666507982101
quantization,06,250,0.5549000000000001,0.016110701273317447,0.495,0.006290716050954369
quantization,08,250,0.5707000000000001,0.018334756514603603,0.49879999999999997,0.006190043857342474
quantization,12,250,0.6407,0.021669568172975037,0.499,0.006374766520647725
quantization,16,250,0.7108,0.02341394186802378,0.5005,0.006879089904314857
smooth,06,250,0.9456,0.015633015550327683,0.891,0.023836987087584173
smooth,10,250,0.9432999999999999,0.01555236091479671,0.7703,0.027573605260324752
smooth,14,250,0.9397000000000001,0.017186999926978527,0.6666,0.02565001395084835
smooth,18,250,0.94,0.015290946477465246,0.6219000000000001,0.02395928861506032
smooth,22,250,0.942,0.016061552486390986,0.6152000000000001,0.022498451596520235
time_stretch,0.7,250,0.5147,0.009957277546022008,0.512,0.006467272442955038
time_stretch,0.9,250,0.5428999999999999,0.011266253576705012,0.5091,0.006166483152810488
time_stretch,1.1,250,0.574,0.011588196182454463,0.5101,0.006982864391957348
time_stretch,1.3,250,0.5179000000000001,0.010992468568840568,0.5056,0.006547455259679904
time_stretch,1.5,250,0.504,0.01043954914473712,0.5003,0.004733703075100176
