attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
background_noise,05,250,0.76375,0.02652625981625298,0.65225,0.02493630817626874,0.4865,0.014927302873739026,0.5,0.0
background_noise,10,250,0.87375,0.02352059445366582,0.7555,0.026919409071132227,0.4945,0.014465794247563852,0.5,0.0
background_noise,20,250,0.9535,0.016443282145327417,0.91275,0.019191065828414063,0.518,0.017711246126612033,0.502,0.0032473242615171267
background_noise,30,250,0.96975,0.01418283097190085,0.94475,0.01761825802009525,0.59525,0.023792954721461354,0.60025,0.02915378865898377
background_noise,40,250,0.98075,0.01002956915474034,0.9595,0.014868144108695873,0.7775,0.023950709927350725,0.68225,0.037927395281661586
channel,P1,250,0.98275,0.010801133902248282,0.96325,0.015057767492141376,0.92775,0.01248792716585096,0.695,0.038461236418338256
channel,P2,250,0.98025,0.011598384962353155,0.958,0.015978489255104877,0.82525,0.02164001990400617,0.695,0.038461236418338256
channel,P3,250,0.979,0.011964036537938379,0.954,0.0176656729734937,0.6875,0.025044943537312053,0.69525,0.0384134341512598
channel,P4,250,0.9715,0.014465394295646217,0.95025,0.017404608042828718,0.6395,0.02467912989164803,0.695,0.038461236418338256
channel,P5,250,0.9695,0.015072968650393426,0.9455,0.017729203281478388,0.7005,0.02384774492803482,0.695,0.038461236418338256
echo,0.1,250,0.9745,0.013049288644847511,0.95325,0.015781294923988703,0.9135,0.015221548401623666,0.68975,0.03812847268534722
echo,0.3,250,0.97,0.013413812338249821,0.936,0.018304223666030312,0.9025,0.017672658300482768,0.68475,0.03702452909381122
echo,0.5,250,0.9635,0.01468634975330171,0.93625,0.0180725748538328,0.8905,0.018531754533891758,0.681,0.03735117415077827
echo,0.7,250,0.943,0.01900341246041253,0.93425,0.01916924705172638,0.8515,0.02303257483683615,0.68375,0.03732148688803993
echo,0.9,250,0.96625,0.014315331812417008,0.94125,0.017987004735570338,0.83,0.023239629115925736,0.69125,0.03775176809072528
encodec,01.5bw,250,0.5275,0.015129924602386345,0.50925,0.014344132212011385,0.4725,0.014742575559804542,0.5,0.0
encodec,03bw,250,0.52975,0.01566809600845363,0.526,0.016245052184647724,0.47525,0.014825701511267681,0.5,0.0
encodec,06bw,250,0.554,0.018536644961419067,0.53625,0.01600709838775225,0.5045,0.014554179018674687,0.5,0.0
encodec,12bw,250,0.5935,0.020400893987813574,0.56425,0.018493862012260016,0.57525,0.019765317368631626,0.5,0.0
encodec,24bw,250,0.61275,0.019647883777847205,0.5855,0.01998091897014665,0.66675,0.022582248252655854,0.5,0.0
gaussian_noise,05,250,0.8165,0.02669871200058085,0.7435,0.02764062201800402,0.49125,0.01584970227635194,0.5,0.0
gaussian_noise,10,250,0.91075,0.021831931047275963,0.8385,0.024758084834224044,0.511,0.017009962401002953,0.5,0.0
gaussian_noise,20,250,0.962,0.014758787403526414,0.92625,0.020105736808444543,0.543,0.020759140010508714,0.53875,0.019435112151396233
gaussian_noise,30,250,0.9715,0.013045889103083769,0.9515,0.016975915658655916,0.658,0.025551424452782766,0.6805,0.036921343268562425
gaussian_noise,40,250,0.98025,0.011196521422650495,0.96375,0.01478584372630778,0.839,0.02140739713764463,0.69475,0.038483906347863965
highpass,0.06,250,0.96875,0.015913453490931255,0.927,0.019373268918651227,0.462,0.014378207461265705,0.695,0.038461236418338256
highpass,0.07,250,0.972,0.01453030838789699,0.92,0.021761126499012507,0.467,0.0139934792042924,0.695,0.038461236418338256
highpass,0.08,250,0.9735,0.013826693582403812,0.9295,0.019626450024450397,0.4865,0.013341155095309717,0.695,0.038404785511714584
highpass,0.09,250,0.97625,0.012332373646587104,0.92875,0.019504448313553097,0.474,0.013962712593614736,0.69,0.03752600383541288
highpass,0.1,250,0.97525,0.013190876258454685,0.944,0.01851009627897781,0.48025,0.014331623261208229,0.677,0.03698031950270425
lowpass,0.1,250,0.979,0.011781299319456175,0.96325,0.015057767492141376,0.928,0.01253905474810217,0.695,0.038461236418338256
lowpass,0.2,250,0.98275,0.010801133902248282,0.96325,0.015057767492141376,0.9265,0.012805678710201803,0.695,0.038461236418338256
lowpass,0.3,250,0.98275,0.010801133902248282,0.96325,0.015057767492141376,0.9265,0.012805678710201803,0.695,0.038461236418338256
lowpass,0.4,250,0.98275,0.010801133902248282,0.96325,0.015057767492141376,0.9265,0.012805678710201803,0.695,0.038461236418338256
lowpass,0.5,250,0.98275,0.010801133902248282,0.96325,0.015057767492141376,0.9265,0.012805678710201803,0.695,0.038461236418338256
mp3,08,250,0.7975,0.024409310061341,0.956,0.017065426002846648,0.92625,0.012736252924397224,0.51,0.009961026462808492
mp3,16,250,0.96325,0.015374619739314338,0.9575,0.015231554121751839,0.92625,0.012717311431279828,0.69025,0.03828570323093923
mp3,24,250,0.97125,0.014162964671038772,0.9535,0.01731448431424607,0.92525,0.012853967384042956,0.68825,0.03784381155077753
mp3,32,250,0.969,0.015009116694054416,0.9495,0.017762349016114988,0.92475,0.012939948557652724,0.6845,0.03746114322075105
