attack,config,n,stampv40_mean,stampv40_ci95,silentcipher_mean,silentcipher_ci95
background_noise,05,250,0.6167999999999999,0.01986301631001009,0.49889999999999995,0.0058672474831144164
background_noise,10,250,0.7153,0.022941349688414246,0.49910000000000004,0.004908556705562941
background_noise,20,250,0.8929,0.020572441985651876,0.4985,0.005527342913074496
background_noise,30,250,0.9546,0.014782466514116101,0.5091,0.008149431966801497
background_noise,40,250,0.9668,0.01334766420851578,0.739,0.028992848751284505
channel,P1,250,0.9740999999999999,0.012649727254548132,0.9833999999999999,0.010294779880461194
channel,P2,250,0.971,0.01295837859855987,0.9833999999999999,0.009616802711586336
channel,P3,250,0.9716,0.013044079594431471,0.9753000000000001,0.0121937297495401
channel,P4,250,0.9685999999999999,0.012982192323567865,0.968,0.01359290530750491
channel,P5,250,0.9648,0.014216999826979012,0.9360999999999999,0.019107467837593203
echo,0.1,250,0.9705999999999999,0.013495878684318683,0.8145,0.02661754378126936
echo,0.3,250,0.9331,0.015137259626895752,0.6998000000000001,0.027471175864120376
echo,0.5,250,0.9562999999999999,0.015193680108682685,0.6536,0.02561317658383785
echo,0.7,250,0.9575,0.014765450011978128,0.6466000000000001,0.024813542673630146
echo,0.9,250,0.9459000000000001,0.015354224292699456,0.6820999999999999,0.02660010303932696
encodec,0.15bw,250,0.5069999999999999,0.009052000067437225,0.5006,0.005650720188666434
encodec,03bw,250,0.5146000000000002,0.010000127819263432,0.5025,0.004707295030696939
encodec,06bw,250,0.518,0.010080156179066747,0.5005,0.005041225866089688
encodec,12bw,250,0.5199000000000001,0.01125556711589432,0.5063,0.005317593325849248
encodec,24bw,250,0.5267000000000001,0.010966135125117205,0.4995,0.005381674841198188
gaussian_noise,05,250,0.6892999999999999,0.0242107503102722,0.5012,0.004628483533868644
gaussian_noise,10,250,0.8088,0.024348813458799294,0.5011,0.004393750428427773
gaussian_noise,20,250,0.9272,0.01799765788600078,0.4989,0.005380298607738583
gaussian_noise,30,250,0.9611,0.01402488787032183,0.5153,0.011753051360781022
gaussian_noise,40,250,0.971,0.013278851501118422,0.9574,0.01609237615198164
highpass,0.06,250,0.9734,0.012555310162201343,0.7341,0.02720302613570334
highpass,0.07,250,0.9692999999999999,0.013767153508511033,0.6904000000000001,0.027446701189775123
highpass,0.08,250,0.9703999999999999,0.013082698919568557,0.6669,0.02621150523190319
highpass,0.09,250,0.9677,0.013449253892504976,0.6489,0.02526422202074018
highpass,0.1,250,0.9715,0.012584650623887068,0.6287999999999999,0.024495059357259426
lowpass,0.1,250,0.9689000000000001,0.012911437920413464,0.9343,0.01931894465425627
lowpass,0.2,250,0.9740999999999999,0.012649727254548132,0.9877999999999999,0.008775202432704318
lowpass,0.3,250,0.9740999999999999,0.012649727254548132,0.9837,0.010292808987414742
lowpass,0.4,250,0.9740999999999999,0.012649727254548132,0.9833,0.0102941579283502
lowpass,0.5,250,0.9740999999999999,0.012649727254548132,0.9833999999999999,0.010294779880461194
mp3,08,250,0.5892999999999999,0.015413053875956335,0.6654,0.026402385049864058
mp3,16,250,0.955,0.014670452231431,0.6785,0.02690378695668031
mp3,24,250,0.9618,0.014039439515580619,0.6681,0.02620502982345551
mp3,32,250,0.9601,0.014895093715825116,0.6725,0.026924136914567524
mp3,40,250,0.9672999999999999,0.01324640188108381,0.8002,0.027796389232442507
opus,016kbps,250,0.8892,0.02167574364477991,0.5555,0.017339304609393928
opus,032kbps,250,0.9601000000000001,0.014570462830134715,0.6725,0.026941322078572267
opus,064kbps,250,0.9738,0.012525241998960743,0.9374000000000001,0.019029370195995057
opus,128kbps,250,0.9742000000000001,0.012220239544382441,0.9783,0.011623164963082822
opus,256kbps,250,0.9732000000000001,0.013228074261155116,0.9853,0.009549968492977737
quantization,04,250,0.5799,0.018589416946900264,0.4992,0.00598191832872752
quantization,06,250,0.6096999999999999,0.020339132347338966,0.5002000000000001,0.006406103495258866
quantization,08,250,0.645,0.02247651089846186,0.5007,0.006702747029012788
quantization,12,250,0.7329,0.024803172629038077,0.4983,0.006554485197850045
quantization,16,250,0.7962,0.02497378796911082,0.4987,0.005879750730994855
smooth,06,250,0.973,0.01326548342889959,0.9625999999999999,0.015256218639120855
smooth,10,250,0.9741000000000001,0.012716630527932144,0.8931999999999999,0.023057181617896032
smooth,14,250,0.9718,0.01331989453508183,0.8304,0.026637414498797043
smooth,18,250,0.9721,0.012817775080256017,0.7595999999999999,0.02805958649290132
smooth,22,250,0.9723999999999999,0.012534279868556196,0.7062,0.02740133500807761
time_stretch,0.7,250,0.5197,0.010608438986719005,0.5083,0.006511978513527403
time_stretch,0.9,250,0.5627000000000001,0.010889614878074022,0.5134000000000001,0.007021367932716982
time_stretch,1.1,250,0.5888,0.01024228374383158,0.5133,0.0067755476300257085
time_stretch,1.3,250,0.5314,0.0113120016700464,0.5097,0.006617500181989762
time_stretch,1.5,250,0.5081,0.010463824203600489,0.5029,0.004679089665350039
