attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
background_noise,05,250,0.689,0.02620145589014191,0.58925,0.020487607195433476,0.4735,0.01450732904376046,0.5,0.0
background_noise,10,250,0.7785,0.02726620666141169,0.652,0.024368508185046097,0.489,0.015372204927639669,0.5,0.0
background_noise,20,250,0.93025,0.01888616829883839,0.84125,0.025179815376798115,0.51775,0.01875295220667571,0.50075,0.0035731956718373183
background_noise,30,250,0.97275,0.012396478464195103,0.921,0.01924613082692802,0.66875,0.02641515648198722,0.64725,0.03493686462232343
background_noise,40,250,0.97525,0.012496417944586486,0.951,0.015262669159734744,0.8485,0.021351018936775695,0.684,0.03834452990315536
channel,P1,250,0.978,0.011356723253307216,0.955,0.01443523272327469,0.9145,0.01508639691535226,0.6805,0.0381290669882911
channel,P2,250,0.97325,0.01300135459423904,0.94825,0.01575438742995654,0.76525,0.024510407829488916,0.6835,0.03823674846706154
channel,P3,250,0.97275,0.012892168928412119,0.944,0.01621950860654388,0.6425,0.02376276321606245,0.6835,0.038280854652577
channel,P4,250,0.96475,0.014593645382226083,0.939,0.016590981534348487,0.6295,0.02207078404664716,0.68375,0.03837872740031214
channel,P5,250,0.95325,0.015534967436496674,0.90825,0.02012577381086113,0.64625,0.02478418514563941,0.684,0.03834452990315536
echo,0.1,250,0.96575,0.013658895052537189,0.89775,0.021912784123249342,0.8985,0.017923608133243046,0.68375,0.03831586396946972
echo,0.3,250,0.9585,0.014874239125354712,0.8575,0.023610103514212027,0.89125,0.018580315457224075,0.676,0.03751294814747115
echo,0.5,250,0.952,0.015944054248009,0.85525,0.024033281884765768,0.84675,0.023760348673289813,0.679,0.03769833464944261
echo,0.7,250,0.93125,0.018029840559539333,0.8285,0.02596002877455847,0.826,0.024014718411874133,0.67725,0.037675627123068114
echo,0.9,250,0.95075,0.016648333382584295,0.8325,0.02555187730353564,0.8315,0.023694167719836522,0.67975,0.037933496493533246
encodec,0.15bw,250,0.5165,0.015853321697213537,0.503,0.014855167667370935,0.47275,0.015428712463232061,0.5,0.0
encodec,03bw,250,0.52575,0.015025714785635897,0.52,0.015544864465313935,0.4835,0.015327603836132696,0.5,0.0
encodec,06bw,250,0.54625,0.017093682632591936,0.52875,0.015213342603540184,0.4895,0.01757241627251695,0.5,0.0
encodec,12bw,250,0.5765,0.018367330260098614,0.535,0.017132420709211806,0.60375,0.020633554815817592,0.5,0.0
