attack,config,n,stampv40_mean,stampv40_ci95,silentcipher_mean,silentcipher_ci95
background_noise,05,250,0.5565,0.014126800471666085,0.5,0.006448159663982339
background_noise,10,250,0.6284000000000001,0.02051662692396948,0.5007,0.0057887835096925465
background_noise,20,250,0.8392999999999999,0.021951455314527617,0.4992,0.005956071242234287
background_noise,30,250,0.9362,0.015760260850388525,0.517,0.009086023867395215
background_noise,40,250,0.9586,0.01305448379848778,0.9355999999999999,0.01939531159179898
channel,P1,250,0.9677,0.01102548583490008,0.994,0.005601855114414471
channel,P2,250,0.955,0.013464038075003374,0.9927,0.005663769565117123
channel,P3,250,0.9562999999999999,0.013312972037900767,0.9768,0.011810897088032577
channel,P4,250,0.9394,0.015842316093704588,0.9582,0.015435434487414372
channel,P5,250,0.9246,0.0170962897104446,0.9304,0.019039339842087222
echo,0.1,250,0.9422,0.015158785417219323,0.8100999999999999,0.026738479588390873
echo,0.3,250,0.8786000000000002,0.01982580737342195,0.6854,0.026901375470126783
echo,0.5,250,0.8981,0.019083067603839033,0.7009000000000001,0.026737383265224103
echo,0.7,250,0.886,0.020968685621822542,0.6557,0.02561858813236167
echo,0.9,250,0.8885,0.020693262625122437,0.6826,0.026565323683812002
encodec,0.15bw,250,0.5003,0.01064690883283872,0.501,0.006488707026480855
encodec,03bw,250,0.5057999999999999,0.010288723615616965,0.5003000000000001,0.005795975011101866
encodec,06bw,250,0.5118,0.010411254262830258,0.5017,0.005320203885334292
encodec,12bw,250,0.5064,0.010192817390763251,0.4989,0.005423140831836079
encodec,24bw,250,0.5088,0.010901190844642859,0.5025,0.0064076566900098594
gaussian_noise,05,250,0.6173999999999998,0.02125668911341221,0.4908,0.0061485306880985765
gaussian_noise,10,250,0.7079000000000001,0.02414441172291806,0.5005,0.005599444751589609
gaussian_noise,20,250,0.9014000000000001,0.019520351902812576,0.49810000000000004,0.004951118418131549
gaussian_noise,30,250,0.9462999999999999,0.013853063178289732,0.5845,0.02041062834401701
gaussian_noise,40,250,0.9638,0.012000610040718663,0.9933,0.005647948263071229
highpass,0.06,250,0.9564,0.01295840241033255,0.6940999999999999,0.0278941071279556
highpass,0.07,250,0.9571,0.01243470673164462,0.6657000000000001,0.026563514550697925
highpass,0.08,250,0.9492,0.013434993177172911,0.6374000000000001,0.024675688211086698
highpass,0.09,250,0.9502,0.013369146031307523,0.6203,0.02314788696420541
highpass,0.1,250,0.9479,0.014616767417419617,0.6026,0.022564966162786748
lowpass,0.1,250,0.9365,0.01567224959056343,0.8777999999999999,0.02461337360185022
lowpass,0.2,250,0.9677,0.01102548583490008,0.9949,0.005577690783280801
lowpass,0.3,250,0.9677,0.01102548583490008,0.994,0.005601855114414471
lowpass,0.4,250,0.9677,0.01102548583490008,0.994,0.005615608769081902
lowpass,0.5,250,0.9677,0.01102548583490008,0.9940999999999999,0.005600050883302966
mp3,08,250,0.5627000000000001,0.013256880056004018,0.6008,0.02119749751995348
mp3,16,250,0.8631,0.020962022173215102,0.5814000000000001,0.020025957458872676
mp3,24,250,0.9155,0.017593255781576757,0.5912999999999999,0.020615413707060378
mp3,32,250,0.9294,0.015416872130270928,0.5708,0.018522432093725345
mp3,40,250,0.9464,0.014731865969924629,0.7300999999999999,0.027370330430733752
opus,016kbps,250,0.7915999999999999,0.0236486878401794,0.5236,0.010830538125149704
opus,032kbps,250,0.9046000000000001,0.01810180134194642,0.64,0.02464558352217684
opus,064kbps,250,0.9578,0.012922707055977804,0.9445,0.016858841732999133
opus,128kbps,250,0.9653999999999999,0.011719812995204757,0.9910999999999999,0.006823966407164123
opus,256kbps,250,0.9677,0.01102548583490008,0.9957999999999999,0.004029383131159245
quantization,04,250,0.5596,0.01668664450978638,0.49679999999999996,0.005582211425735005
quantization,06,250,0.5658000000000001,0.01717081195040422,0.49860000000000004,0.005895774289598914
quantization,08,250,0.5898,0.0192088031960583,0.5013000000000001,0.006236292179218217
quantization,12,250,0.6374000000000001,0.02211712992411812,0.49770000000000003,0.005338442057229204
quantization,16,250,0.6805,0.024758707980901067,0.5005999999999999,0.005547389495687812
smooth,06,250,0.9662000000000001,0.011673462592547182,0.9392999999999999,0.019245734020190124
smooth,10,250,0.9632999999999999,0.012026968253282365,0.8598999999999999,0.024897664346190836
smooth,14,250,0.9591,0.013118529325448436,0.7196,0.027402539892246936
smooth,18,250,0.9578000000000001,0.013264413401108321,0.6495,0.025457662436029496
smooth,22,250,0.9585,0.013133550708657103,0.5976,0.02142009194405025
time_stretch,0.7,250,0.5189,0.01046264459799413,0.5057999999999999,0.00692837729571703
time_stretch,0.9,250,0.5511,0.011885464725578545,0.5137999999999999,0.006411640297867384
time_stretch,1.1,250,0.5765,0.011698342380774778,0.5159,0.006369548887332011
time_stretch,1.3,250,0.512,0.010903624834803912,0.5026,0.006715658972710794
time_stretch,1.5,250,0.5059999999999999,0.01049482228430365,0.5016,0.004395769006286216
