attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
background_noise,05,250,14,193,0.772,0.7161076912424261,0.8196594958537787,0.055892308757573894,0.04765949585377871,225,0.9,0.8565473757413067,0.9313455464589946,0.04345262425869334,0.031345546458994566,215,0.86,0.8115192932332553,0.8975843367470158,0.04848070676674465,0.03758433674701578,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,10,250,14,135,0.54,0.47807895390860083,0.6007103383114293,0.0619210460913992,0.060710338311429246,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404,212,0.848,0.7982538839765846,0.8872129583376774,0.04974611602341539,0.03921295833767746,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,20,250,14,50,0.2,0.15512326880286578,0.25395703954690824,0.04487673119713423,0.053957039546908225,107,0.428,0.3682111082988261,0.4899681657051197,0.05978889170117391,0.061968165705119704,213,0.852,0.8026649802416493,0.8906807912946159,0.04933501975835064,0.03868079129461588,226,0.904,0.8611332699687319,0.9346385814535726,0.042866730031268174,0.030638581453572566
background_noise,30,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,88,0.352,0.29544366352974316,0.41303595525614534,0.05655633647025682,0.06103595525614536,219,0.876,0.8293672890376607,0.9112520578306225,0.04663271096233934,0.03525205783062246,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554
background_noise,40,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,86,0.344,0.2878738024449977,0.40484795789688477,0.056126197555002255,0.0608479578968848,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,11,0.044,0.024743541619069078,0.07705852707258744,0.01925645838093092,0.03305852707258744
channel,P1,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,217,0.868,0.8204189328669529,0.9044425555573243,0.047581067133047106,0.03644255555732434,8,0.032,0.016302169731072406,0.061863111294575085,0.015697830268927595,0.029863111294575084
channel,P2,250,14,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,90,0.36,0.30303128258888623,0.4212061946410083,0.056968717411113756,0.061206194641008294,216,0.864,0.815963246638718,0.901019312563556,0.04803675336128199,0.03701931256355606,7,0.028,0.013627884857773491,0.056658466945870976,0.01437211514222651,0.028658466945870976
channel,P3,250,14,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,88,0.352,0.29544366352974316,0.41303595525614534,0.05655633647025682,0.06103595525614536,205,0.82,0.7676470766122656,0.8626672611479753,0.05235292338773434,0.042667261147975366,5,0.02,0.008572197944651562,0.045956295414986886,0.011427802055348438,0.025956295414986886
channel,P4,250,14,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554,96,0.384,0.3258981738809542,0.44561287868095845,0.058101826119045796,0.06161287868095844,201,0.804,0.7503481276833216,0.8484504931889075,0.05365187231667845,0.04445049318890748,13,0.052,0.03063736169809375,0.0869225654375688,0.021362638301906246,0.034922565437568796
channel,P5,250,14,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,120,0.48,0.4188413078841016,0.5417640460058832,0.06115869211589836,0.061764046005883255,212,0.848,0.7982538839765846,0.8872129583376774,0.04974611602341539,0.03921295833767746,19,0.076,0.0491912491961804,0.11564225327150024,0.0268087508038196,0.03964225327150024
echo,0.1,250,14,29,0.116,0.08199108127964577,0.161631713408065,0.034008918720354234,0.045631713408065,105,0.42,0.360481217387437,0.48194019817250267,0.05951878261256299,0.06194019817250268,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,37,0.148,0.10931920870538417,0.1973350197583507,0.038680791294615824,0.049335019758350696
echo,0.3,250,14,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,120,0.48,0.4188413078841016,0.5417640460058832,0.06115869211589836,0.061764046005883255,215,0.86,0.8115192932332553,0.8975843367470158,0.04848070676674465,0.03758433674701578,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636
echo,0.5,250,14,29,0.116,0.08199108127964577,0.161631713408065,0.034008918720354234,0.045631713408065,117,0.468,0.40709862287317655,0.5298699433507994,0.060901377126823475,0.06186994335079937,215,0.86,0.8115192932332553,0.8975843367470158,0.04848070676674465,0.03758433674701578,31,0.124,0.08874794216937745,0.1706327109623393,0.035252057830622546,0.04663271096233931
