attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
background_noise,05,250,32,233,0.932,0.8938099139309015,0.9571144420454241,0.03819008606909857,0.025114442045424012,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585
background_noise,10,250,32,201,0.804,0.7503481276833216,0.8484504931889075,0.05365187231667845,0.04445049318890748,179,0.716,0.6571607478551965,0.7683014301329661,0.058839252144803456,0.052301430132966176
background_noise,20,250,32,96,0.384,0.3258981738809542,0.44561287868095845,0.058101826119045796,0.06161287868095844,188,0.752,0.6949232766848457,0.8014492643013442,0.05707672331515434,0.04944926430134422
background_noise,30,250,32,47,0.188,0.14442509786439153,0.24101842281937344,0.04357490213560847,0.05301842281937344,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
background_noise,40,250,32,40,0.16,0.11975315933080616,0.21053785679893777,0.040246840669193845,0.05053785679893777,176,0.704,0.6446705128026907,0.7571548775194629,0.05932948719730924,0.053154877519462906
channel,P1,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
channel,P2,250,32,41,0.164,0.12325083757520047,0.21491910777654646,0.040749162424799534,0.05091910777654646,173,0.692,0.632225937959959,0.7459626646961856,0.05977406204004099,0.0539626646961856
channel,P3,250,32,46,0.184,0.14087481495903226,0.2366897765027297,0.04312518504096774,0.05268977650272971,179,0.716,0.6571607478551965,0.7683014301329661,0.058839252144803456,0.052301430132966176
channel,P4,250,32,53,0.212,0.16588878550725972,0.26682831050852335,0.04611121449274028,0.054828310508523354,192,0.768,0.7118582531392634,0.8160300047349385,0.056141746860736585,0.04803000473493846
channel,P5,250,32,58,0.232,0.18396999526506153,0.2881417468607366,0.048030004734938486,0.05614174686073661,186,0.744,0.686492019930042,0.7941226626121417,0.05750798006995794,0.05012266261214171
echo,0.1,250,32,45,0.18,0.1373327388520246,0.23235292338773436,0.042667261147975394,0.05235292338773437,186,0.744,0.686492019930042,0.7941226626121417,0.05750798006995794,0.05012266261214171
echo,0.3,250,32,53,0.212,0.16588878550725972,0.26682831050852335,0.04611121449274028,0.054828310508523354,176,0.704,0.6446705128026907,0.7571548775194629,0.05932948719730924,0.053154877519462906
echo,0.5,250,32,51,0.204,0.158704508175768,0.25825472939600896,0.04529549182423198,0.05425472939600898,188,0.752,0.6949232766848457,0.8014492643013442,0.05707672331515434,0.04944926430134422
echo,0.7,250,32,47,0.188,0.14442509786439153,0.24101842281937344,0.04357490213560847,0.05301842281937344,190,0.76,0.7033784234651377,0.8087519759650581,0.05662157653486233,0.04875197596505809
