attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
background_noise,05,250,14,193,0.772,0.7161076912424261,0.8196594958537787,0.055892308757573894,0.04765949585377871,241,0.964,0.9330088524397113,0.980946937312638,0.030991147560288645,0.016946937312638077,134,0.536,0.47410255177893273,0.5968078112190945,0.0618974482210673,0.06080781121909451,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,10,250,14,125,0.5,0.4384901486556353,0.5615098513443647,0.06150985134436471,0.06150985134436471,216,0.864,0.815963246638718,0.901019312563556,0.04803675336128199,0.03701931256355606,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,20,250,14,37,0.148,0.10931920870538417,0.1973350197583507,0.038680791294615824,0.049335019758350696,144,0.576,0.5140438113999315,0.6356558438181257,0.06195618860006846,0.05965584381812572,130,0.52,0.45823595399411676,0.5811586921158984,0.061764046005883255,0.061158692115898416,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,30,250,14,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,95,0.38,0.3220763555106477,0.44155576782926187,0.05792364448935228,0.061555767829261865,120,0.48,0.4188413078841016,0.5417640460058832,0.06115869211589836,0.061764046005883255,144,0.576,0.5140438113999315,0.6356558438181257,0.06195618860006846,0.05965584381812572
background_noise,40,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,73,0.292,0.23912445276251873,0.35117122769332454,0.05287554723748125,0.05917122769332456,125,0.5,0.4384901486556353,0.5615098513443647,0.06150985134436471,0.06150985134436471,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
channel,P1,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,71,0.284,0.2316985698670338,0.34283925214480343,0.052301430132966176,0.058839252144803456,135,0.54,0.47807895390860083,0.6007103383114293,0.0619210460913992,0.060710338311429246,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
channel,P2,250,14,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,80,0.32,0.26527371529560945,0.380174469714255,0.05472628470439056,0.060174469714255,140,0.56,0.4980198439170466,0.6201640944129987,0.06198015608295343,0.06016409441299864,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
channel,P3,250,14,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,82,0.328,0.2727885097296531,0.3884175337242174,0.05521149027034694,0.060417533724217376,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
channel,P4,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
channel,P5,250,14,44,0.176,0.13379907724930237,0.22800765576845358,0.04220092275069762,0.05200765576845359,110,0.44,0.37983590558700137,0.5019801560829534,0.06016409441299864,0.06198015608295343,139,0.556,0.49402378531370017,0.616281223794342,0.06197621468629988,0.060281223794341976,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
