attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
background_noise,05,250,32,245,0.98,0.9540437045850131,0.9914278020553485,0.025956295414986896,0.011427802055348546,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,10,250,32,214,0.856,0.8070866646773006,0.8941380360809675,0.04891333532269937,0.03813803608096755,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,20,250,32,86,0.344,0.2878738024449977,0.40484795789688477,0.056126197555002255,0.0608479578968848,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,30,250,32,34,0.136,0.09898068743644395,0.1840367533612819,0.03701931256355606,0.04803675336128188,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651
background_noise,40,250,32,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,95,0.38,0.3220763555106477,0.44155576782926187,0.05792364448935228,0.061555767829261865
channel,P1,250,32,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949
channel,P2,250,32,29,0.116,0.08199108127964577,0.161631713408065,0.034008918720354234,0.045631713408065,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712
channel,P3,250,32,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,37,0.148,0.10931920870538417,0.1973350197583507,0.038680791294615824,0.049335019758350696
channel,P4,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,40,0.16,0.11975315933080616,0.21053785679893777,0.040246840669193845,0.05053785679893777
channel,P5,250,32,52,0.208,0.1622930646183891,0.26254510217539095,0.045706935381610886,0.054545102175390964,62,0.248,0.19855073569865583,0.3050767233151544,0.049449264301344165,0.0570767233151544
