attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
background_noise,05,250,14,147,0.588,0.5261038843001786,0.6472325585838876,0.06189611569982134,0.05923255858388765,201,0.804,0.7503481276833216,0.8484504931889075,0.05365187231667845,0.04445049318890748,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,10,250,14,76,0.304,0.2503016200503418,0.3636308480715105,0.053698379949658204,0.059630848071510534,148,0.592,0.5301320093936375,0.6510833627124317,0.0618679906063625,0.05908336271243175,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,20,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,59,0.236,0.1876058720228644,0.2923847993249367,0.048394127977135576,0.05638479932493673,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,30,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,225,0.9,0.8565473757413067,0.9313455464589946,0.04345262425869334,0.031345546458994566,186,0.744,0.686492019930042,0.7941226626121417,0.05750798006995794,0.05012266261214171
background_noise,40,250,14,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,24,0.096,0.06536141854642746,0.13886673003126823,0.03063858145357254,0.04286673003126823,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
channel,P1,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
channel,P2,250,14,11,0.044,0.024743541619069078,0.07705852707258744,0.01925645838093092,0.03305852707258744,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,91,0.364,0.30683166884990987,0.4252847376019877,0.057168331150090124,0.061284737601987715,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
channel,P3,250,14,11,0.044,0.024743541619069078,0.07705852707258744,0.01925645838093092,0.03305852707258744,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,188,0.752,0.6949232766848457,0.8014492643013442,0.05707672331515434,0.04944926430134422,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
channel,P4,250,14,14,0.056,0.03364733819454402,0.09179151816312153,0.022352661805455983,0.03579151816312153,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,215,0.86,0.8115192932332553,0.8975843367470158,0.04848070676674465,0.03758433674701578,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
channel,P5,250,14,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,32,0.128,0.09214637228076344,0.17511321007295638,0.03585362771923656,0.04711321007295638,187,0.748,0.6907047090119511,0.7977889027522356,0.057295290988048864,0.049788902752235575,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
echo,0.1,250,14,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,29,0.116,0.08199108127964577,0.161631713408065,0.034008918720354234,0.045631713408065,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,129,0.516,0.4542790313566007,0.5772366855314113,0.06172096864339932,0.06123668553141126
echo,0.3,250,14,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,48,0.192,0.14798339072642153,0.2453390591793465,0.04401660927357848,0.053339059179346504,128,0.512,0.45032599170719884,0.5733107959588102,0.061674008292801175,0.06131079595881017
echo,0.5,250,14,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,40,0.16,0.11975315933080616,0.21053785679893777,0.040246840669193845,0.05053785679893777,56,0.224,0.17671751406074326,0.2796363696210489,0.04728248593925674,0.05563636962104887,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
echo,0.7,250,14,32,0.128,0.09214637228076344,0.17511321007295638,0.03585362771923656,0.04711321007295638,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554,71,0.284,0.2316985698670338,0.34283925214480343,0.052301430132966176,0.058839252144803456,131,0.524,0.46219676292977036,0.5850768124022478,0.061803237070229666,0.061076812402247826
echo,0.9,250,14,19,0.076,0.0491912491961804,0.11564225327150024,0.0268087508038196,0.03964225327150024,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,96,0.384,0.3258981738809542,0.44561287868095845,0.058101826119045796,0.06161287868095844,129,0.516,0.4542790313566007,0.5772366855314113,0.06172096864339932,0.06123668553141126
encodec,01.5bw,250,14,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,03bw,250,14,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,245,0.98,0.9540437045850131,0.9914278020553485,0.025956295414986896,0.011427802055348546,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,06bw,250,14,239,0.956,0.9229414729274126,0.9752564583809309,0.033058527072587385,0.01925645838093093,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,12bw,250,14,233,0.932,0.8938099139309015,0.9571144420454241,0.03819008606909857,0.025114442045424012,241,0.964,0.9330088524397113,0.980946937312638,0.030991147560288645,0.016946937312638077,239,0.956,0.9229414729274126,0.9752564583809309,0.033058527072587385,0.01925645838093093,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,24bw,250,14,231,0.924,0.8843577467284998,0.9508087508038197,0.03964225327150028,0.026808750803819614,233,0.932,0.8938099139309015,0.9571144420454241,0.03819008606909857,0.025114442045424012,209,0.836,0.7850808922234535,0.8767491624247995,0.05091910777654651,0.040749162424799534,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,05,250,14,107,0.428,0.3682111082988261,0.4899681657051197,0.05978889170117391,0.061968165705119704,149,0.596,0.5341642139406014,0.6549300873874709,0.061835786059398545,0.058930087387470964,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,10,250,14,51,0.204,0.158704508175768,0.25825472939600896,0.04529549182423198,0.05425472939600898,103,0.412,0.35276744141611227,0.4738961156998214,0.05923255858388771,0.0618961156998214,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,20,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,43,0.172,0.13027404955334546,0.22365375424240744,0.04172595044665453,0.05165375424240745,238,0.952,0.9179869282923764,0.9723320737939639,0.03401307170762358,0.020332073793963956,224,0.896,0.8519787370865683,0.92803525589173,0.04402126291343167,0.03203525589172995
gaussian_noise,30,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,194,0.776,0.7203636303789512,0.8232824859392568,0.05563636962104879,0.04728248593925677,135,0.54,0.47807895390860083,0.6007103383114293,0.0619210460913992,0.060710338311429246
gaussian_noise,40,250,14,11,0.044,0.024743541619069078,0.07705852707258744,0.01925645838093092,0.03305852707258744,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,87,0.348,0.29165649607070654,0.4089441934931789,0.05634350392929344,0.06094419349317892,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
highpass,0.06,250,14,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,45,0.18,0.1373327388520246,0.23235292338773436,0.042667261147975394,0.05235292338773437,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
highpass,0.07,250,14,14,0.056,0.03364733819454402,0.09179151816312153,0.022352661805455983,0.03579151816312153,47,0.188,0.14442509786439153,0.24101842281937344,0.04357490213560847,0.05301842281937344,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
highpass,0.08,250,14,13,0.052,0.03063736169809375,0.0869225654375688,0.021362638301906246,0.034922565437568796,43,0.172,0.13027404955334546,0.22365375424240744,0.04172595044665453,0.05165375424240745,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
highpass,0.09,250,14,14,0.056,0.03364733819454402,0.09179151816312153,0.022352661805455983,0.03579151816312153,43,0.172,0.13027404955334546,0.22365375424240744,0.04172595044665453,0.05165375424240745,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,128,0.512,0.45032599170719884,0.5733107959588102,0.061674008292801175,0.06131079595881017
highpass,0.1,250,14,13,0.052,0.03063736169809375,0.0869225654375688,0.021362638301906246,0.034922565437568796,33,0.132,0.09555744444267568,0.17958106713304717,0.03644255555732433,0.04758106713304716,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,131,0.524,0.46219676292977036,0.5850768124022478,0.061803237070229666,0.061076812402247826
lowpass,0.1,250,14,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
lowpass,0.2,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
lowpass,0.3,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
lowpass,0.4,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
lowpass,0.5,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
mp3,08,250,14,140,0.56,0.4980198439170466,0.6201640944129987,0.06198015608295343,0.06016409441299864,24,0.096,0.06536141854642746,0.13886673003126823,0.03063858145357254,0.04286673003126823,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,244,0.976,0.94863720404899,0.9889553733693685,0.02736279595100999,0.012955373369368473
mp3,16,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,128,0.512,0.45032599170719884,0.5733107959588102,0.061674008292801175,0.06131079595881017
mp3,24,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,25,0.1,0.06865445354100544,0.1434526242586933,0.031345546458994566,0.043452624258693284,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,130,0.52,0.45823595399411676,0.5811586921158984,0.061764046005883255,0.061158692115898416
mp3,32,250,14,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,134,0.536,0.47410255177893273,0.5968078112190945,0.0618974482210673,0.06080781121909451
mp3,40,250,14,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
opus,016kbps,250,14,31,0.124,0.08874794216937745,0.1706327109623393,0.035252057830622546,0.04663271096233931,37,0.148,0.10931920870538417,0.1973350197583507,0.038680791294615824,0.049335019758350696,98,0.392,0.33355440837517,0.4537145026307487,0.05844559162483004,0.06171450263074868,163,0.652,0.5910558065068211,0.7083435039292935,0.06094419349317892,0.05634350392929344
opus,032kbps,250,14,18,0.072,0.046025193010480865,0.11092938023519675,0.02597480698951913,0.03892938023519675,25,0.1,0.06865445354100544,0.1434526242586933,0.031345546458994566,0.043452624258693284,56,0.224,0.17671751406074326,0.2796363696210489,0.04728248593925674,0.05563636962104887,128,0.512,0.45032599170719884,0.5733107959588102,0.061674008292801175,0.06131079595881017
opus,064kbps,250,14,10,0.04,0.02186967487695694,0.07205346459269657,0.01813032512304306,0.03205346459269657,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
opus,128kbps,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
opus,256kbps,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
quantization,04,250,14,186,0.744,0.686492019930042,0.7941226626121417,0.05750798006995794,0.05012266261214171,239,0.956,0.9229414729274126,0.9752564583809309,0.033058527072587385,0.01925645838093093,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,06,250,14,172,0.688,0.6280876301153657,0.7422220433187758,0.05991236988463422,0.05422204331877589,217,0.868,0.8204189328669529,0.9044425555573243,0.047581067133047106,0.03644255555732434,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,08,250,14,141,0.564,0.5020198636060832,0.6240430039459649,0.06198013639391675,0.06004300394596496,199,0.796,0.741745270603991,0.841295491824232,0.05425472939600906,0.04529549182423198,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,12,250,14,90,0.36,0.30303128258888623,0.4212061946410083,0.056968717411113756,0.061206194641008294,152,0.608,0.5462854973692512,0.66644559162483,0.061714502630748735,0.058445591624829984,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,16,250,14,66,0.264,0.21322710068235817,0.3219160752194641,0.05077289931764184,0.05791607521946407,123,0.492,0.4306189740306896,0.5536231675253044,0.06138102596931039,0.06162316752530439,247,0.988,0.9653186109241421,0.9959107541602255,0.022681389075857927,0.007910754160225464,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
smooth,06,250,14,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,52,0.208,0.1622930646183891,0.26254510217539095,0.045706935381610886,0.054545102175390964,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
smooth,10,250,14,10,0.04,0.02186967487695694,0.07205346459269657,0.01813032512304306,0.03205346459269657,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,54,0.216,0.1694915254237288,0.27110449981405726,0.04650847457627119,0.05510449981405727,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
smooth,14,250,14,10,0.04,0.02186967487695694,0.07205346459269657,0.01813032512304306,0.03205346459269657,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,45,0.18,0.1373327388520246,0.23235292338773436,0.042667261147975394,0.05235292338773437,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039
smooth,18,250,14,10,0.04,0.02186967487695694,0.07205346459269657,0.01813032512304306,0.03205346459269657,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,47,0.188,0.14442509786439153,0.24101842281937344,0.04357490213560847,0.05301842281937344,148,0.592,0.5301320093936375,0.6510833627124317,0.0618679906063625,0.05908336271243175
smooth,22,250,14,10,0.04,0.02186967487695694,0.07205346459269657,0.01813032512304306,0.03205346459269657,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,56,0.224,0.17671751406074326,0.2796363696210489,0.04728248593925674,0.05563636962104887,131,0.524,0.46219676292977036,0.5850768124022478,0.061803237070229666,0.061076812402247826
