attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
background_noise,05,250,32,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,10,250,32,159,0.636,0.5747152623980124,0.6931683311500901,0.061284737601987604,0.057168331150090124,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,20,250,32,57,0.228,0.1803405041462213,0.2838923087575739,0.04765949585377871,0.055892308757573866,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,30,250,32,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651
background_noise,40,250,32,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,122,0.488,0.42668920404118976,0.5496740082928011,0.06131079595881023,0.06167400829280112
channel,P1,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,7,0.028,0.013627884857773491,0.056658466945870976,0.01437211514222651,0.028658466945870976
channel,P2,250,32,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,6,0.024,0.011044626630631514,0.051362795951009954,0.012955373369368486,0.027362795951009954
channel,P3,250,32,14,0.056,0.03364733819454402,0.09179151816312153,0.022352661805455983,0.03579151816312153,10,0.04,0.02186967487695694,0.07205346459269657,0.01813032512304306,0.03205346459269657
channel,P4,250,32,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,13,0.052,0.03063736169809375,0.0869225654375688,0.021362638301906246,0.034922565437568796
channel,P5,250,32,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168
echo,0.1,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,77,0.308,0.2540373353038144,0.367774062040041,0.0539626646961856,0.05977406204004099
echo,0.3,250,32,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,135,0.54,0.47807895390860083,0.6007103383114293,0.0619210460913992,0.060710338311429246
echo,0.5,250,32,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,160,0.64,0.5787938053589917,0.6969687174111138,0.061206194641008294,0.056968717411113756
echo,0.7,250,32,19,0.076,0.0491912491961804,0.11564225327150024,0.0268087508038196,0.03964225327150024,169,0.676,0.615701641795563,0.7309712439725697,0.060298358204437075,0.054971243972569694
echo,0.9,250,32,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,147,0.588,0.5261038843001786,0.6472325585838876,0.06189611569982134,0.05923255858388765
encodec,0.15bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,03bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,06bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,12bw,250,32,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,24bw,250,32,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,05,250,32,165,0.66,0.5992527876077032,0.7159043812724175,0.06074721239229686,0.05590438127241748,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,10,250,32,99,0.396,0.3373887778853423,0.45775906234257946,0.058611222114657746,0.06175906234257944,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,20,250,32,37,0.148,0.10931920870538417,0.1973350197583507,0.038680791294615824,0.049335019758350696,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,30,250,32,18,0.072,0.046025193010480865,0.11092938023519675,0.02597480698951913,0.03892938023519675,238,0.952,0.9179869282923764,0.9723320737939639,0.03401307170762358,0.020332073793963956
gaussian_noise,40,250,32,13,0.052,0.03063736169809375,0.0869225654375688,0.021362638301906246,0.034922565437568796,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986
highpass,0.06,250,32,14,0.056,0.03364733819454402,0.09179151816312153,0.022352661805455983,0.03579151816312153,118,0.472,0.4110089576615158,0.5338385377844631,0.06099104233848418,0.06183853778446313
highpass,0.07,250,32,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,142,0.568,0.5060238561876421,0.6279179405864089,0.06197614381235783,0.05991794058640898
highpass,0.08,250,32,14,0.056,0.03364733819454402,0.09179151816312153,0.022352661805455983,0.03579151816312153,158,0.632,0.5706410625109003,0.6893636018151991,0.06135893748909971,0.05736360181519906
highpass,0.09,250,32,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,167,0.668,0.6074679599095894,0.7234470674145372,0.06053204009041069,0.0554470674145372
highpass,0.1,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,177,0.708,0.6488287723066753,0.7608755472374812,0.05917122769332461,0.052875547237481224
lowpass,0.1,250,32,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364
lowpass,0.2,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,5,0.02,0.008572197944651562,0.045956295414986886,0.011427802055348438,0.025956295414986886
lowpass,0.3,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,7,0.028,0.013627884857773491,0.056658466945870976,0.01437211514222651,0.028658466945870976
lowpass,0.4,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,7,0.028,0.013627884857773491,0.056658466945870976,0.01437211514222651,0.028658466945870976
lowpass,0.5,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,7,0.028,0.013627884857773491,0.056658466945870976,0.01437211514222651,0.028658466945870976
mp3,08,250,32,231,0.924,0.8843577467284998,0.9508087508038197,0.03964225327150028,0.026808750803819614,155,0.62,0.5584442321707381,0.6779236444893522,0.061555767829261865,0.057923644489352166
mp3,16,250,32,25,0.1,0.06865445354100544,0.1434526242586933,0.031345546458994566,0.043452624258693284,150,0.6,0.5382005167677087,0.6587727137823666,0.06179948323229123,0.05877271378236659
mp3,24,250,32,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,154,0.616,0.5543871213190416,0.6741018261190458,0.06161287868095844,0.058101826119045796
mp3,32,250,32,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,151,0.604,0.5422409376574205,0.6626112221146577,0.06175906234257944,0.058611222114657746
mp3,40,250,32,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,87,0.348,0.29165649607070654,0.4089441934931789,0.05634350392929344,0.06094419349317892
opus,016kbps,250,32,62,0.248,0.19855073569865583,0.3050767233151544,0.049449264301344165,0.0570767233151544,223,0.892,0.8474265111015622,0.9247085526547332,0.04457348889843782,0.03270855265473316
