attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
background_noise,05,250,14,184,0.736,0.6780839247805358,0.7867728993176418,0.05791607521946418,0.05077289931764184,232,0.928,0.8890706197648033,0.9539748069895191,0.038929380235196764,0.02597480698951904,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,10,250,14,134,0.536,0.47410255177893273,0.5968078112190945,0.0618974482210673,0.06080781121909451,201,0.804,0.7503481276833216,0.8484504931889075,0.05365187231667845,0.04445049318890748,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,20,250,14,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,98,0.392,0.33355440837517,0.4537145026307487,0.05844559162483004,0.06171450263074868,244,0.976,0.94863720404899,0.9889553733693685,0.02736279595100999,0.012955373369368473,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,30,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,49,0.196,0.15154950681109253,0.2496518723166785,0.04445049318890748,0.053651872316678506,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585,154,0.616,0.5543871213190416,0.6741018261190458,0.06161287868095844,0.058101826119045796
background_noise,40,250,14,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418
channel,P1,250,14,14,0.056,0.03364733819454402,0.09179151816312153,0.022352661805455983,0.03579151816312153,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,45,0.18,0.1373327388520246,0.23235292338773436,0.042667261147975394,0.05235292338773437,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
channel,P2,250,14,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,29,0.116,0.08199108127964577,0.161631713408065,0.034008918720354234,0.045631713408065,136,0.544,0.48205927010382327,0.6046089513382098,0.06194072989617677,0.06060895133820976,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418
channel,P3,250,14,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433,34,0.136,0.09898068743644395,0.1840367533612819,0.03701931256355606,0.04803675336128188,218,0.872,0.8248867899270436,0.9078536277192366,0.047113210072956435,0.035853627719236614,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418
channel,P4,250,14,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,225,0.9,0.8565473757413067,0.9313455464589946,0.04345262425869334,0.031345546458994566,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418
channel,P5,250,14,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,58,0.232,0.18396999526506153,0.2881417468607366,0.048030004734938486,0.05614174686073661,207,0.828,0.7763462457575925,0.8697259504466546,0.05165375424240748,0.041725950446654614,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418
echo,0.1,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,61,0.244,0.19489634565082414,0.300852184140983,0.04910365434917585,0.05685218414098303,53,0.212,0.16588878550725972,0.26682831050852335,0.04611121449274028,0.054828310508523354,132,0.528,0.4661614622155369,0.5889910423384842,0.06183853778446313,0.06099104233848418
