attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
background_noise,05,250,32,240,0.96,0.9279465354073034,0.978130325123043,0.032053464592696534,0.018130325123043023,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,10,250,32,208,0.832,0.7807090132068878,0.8732421122193622,0.05129098679311217,0.04124211221936225,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,20,250,32,92,0.368,0.3106363981848008,0.4293589374890997,0.05736360181519917,0.06135893748909971,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
background_noise,30,250,32,34,0.136,0.09898068743644395,0.1840367533612819,0.03701931256355606,0.04803675336128188,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755
background_noise,40,250,32,19,0.076,0.0491912491961804,0.11564225327150024,0.0268087508038196,0.03964225327150024,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364
channel,P1,250,32,13,0.052,0.03063736169809375,0.0869225654375688,0.021362638301906246,0.034922565437568796,2,0.008,0.0021965911168378306,0.028695114576791587,0.00580340888316217,0.020695114576791587
channel,P2,250,32,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,2,0.008,0.0021965911168378306,0.028695114576791587,0.00580340888316217,0.020695114576791587
channel,P3,250,32,21,0.084,0.055595617989370606,0.12499574292231608,0.0284043820106294,0.04099574292231607,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864
channel,P4,250,32,32,0.128,0.09214637228076344,0.17511321007295638,0.03585362771923656,0.04711321007295638,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986
channel,P5,250,32,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789
echo,0.1,250,32,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,78,0.312,0.25777795668122416,0.3719123698846343,0.05422204331877584,0.059912369884634276
echo,0.3,250,32,65,0.26,0.20954936702346566,0.31771487965635353,0.05045063297653435,0.057714879656353524,148,0.592,0.5301320093936375,0.6510833627124317,0.0618679906063625,0.05908336271243175
echo,0.5,250,32,54,0.216,0.1694915254237288,0.27110449981405726,0.04650847457627119,0.05510449981405727,135,0.54,0.47807895390860083,0.6007103383114293,0.0619210460913992,0.060710338311429246
echo,0.7,250,32,62,0.248,0.19855073569865583,0.3050767233151544,0.049449264301344165,0.0570767233151544,157,0.628,0.5665711761893972,0.6855545589146992,0.06142882381060277,0.05755455891469918
echo,0.9,250,32,57,0.228,0.1803405041462213,0.2838923087575739,0.04765949585377871,0.055892308757573866,147,0.588,0.5261038843001786,0.6472325585838876,0.06189611569982134,0.05923255858388765
encodec,0.15bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,03bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,06bw,250,32,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,12bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,24bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,05,250,32,206,0.824,0.7719923442315464,0.8662009227506975,0.052007655768453565,0.042200922750697534,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,10,250,32,160,0.64,0.5787938053589917,0.6969687174111138,0.061206194641008294,0.056968717411113756,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,20,250,32,53,0.212,0.16588878550725972,0.26682831050852335,0.04611121449274028,0.054828310508523354,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,30,250,32,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,197,0.788,0.7331716894914767,0.8341112144927404,0.054828310508523326,0.04611121449274036
gaussian_noise,40,250,32,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,2,0.008,0.0021965911168378306,0.028695114576791587,0.00580340888316217,0.020695114576791587
highpass,0.06,250,32,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,141,0.564,0.5020198636060832,0.6240430039459649,0.06198013639391675,0.06004300394596496
